efsaprodcode2_recoded,Alpha-Tocopherol,Calcium,Copper,Magnesium,"Niacin Equivalents, Total",Phosphorus,Potassium,Riboflavin,Thiamin,Total Iron,Total Selenium,Vitamin B-12,"Vitamin B-6, Total",Vitamin E; Alpha-Tocopherol Equiv From E Vitamer Activities,"Vitamin K, Total",Zinc,foodLevel1,foodLevel2,foodLevel3,foodLevel4,level1,level2,level3
Cream sprayable,0.5822156198526637,4.057976918051226,0.009950330853168083,2.097141118779237,0.4700036292457356,4.062903036387282,4.671492828919164,0.2128045735190305,0.02817087696669632,0.05414721807044643,0.0009995003330835331,0.00011427918417099721,0.019802627296179712,0.5944312076207876,0.0,0.1799377654386784,274,0,0,0,14,43,40
Cream with other ingredients,0.0,4.333361462692601,0.011137744410455924,2.2192034840549946,0.6719235441083187,4.053522567701846,4.611152257665639,0.12221763272424921,0.022739486969489426,0.1484200051182733,0.001179304347193096,0.00030795257773712144,0.02605753431928962,0.5653138090500605,0.0,0.19062035960864976,275,0,0,0,14,43,40
"Cream with other ingredients, QUAL Half fat or medium fat",0.5877866649021191,4.394449154672439,0.011928570865273802,2.302585092994046,0.4252677354043441,4.127134385045092,4.709530201312334,0.1397619423751587,0.0246926125903715,0.1484200051182733,0.0,0.0003999200213269354,0.0295588022415444,0.5877866649021191,0.0,0.22314355131420976,275,21,0,0,14,43,40
"Cream, plain",0.5098251234324072,4.379523504455763,0.007684682758546947,2.247978043503049,0.5725924501612025,4.242353974027276,4.662090476240774,0.13353139262452263,0.02385602581542188,0.0657877405380031,0.001926714122275729,0.0002856734771606279,0.02928137125072349,0.6760010217249748,0.003792798238696237,0.22588265368870894,266,201,0,0,14,43,40
"Cream, plain, QUAL Half fat or medium fat",0.25464221837358075,4.6137050884379285,0.02622453963601368,2.3848231912310176,0.5754891370917128,4.404975567659426,4.850913569219542,0.1530888918400534,0.03136023001339645,0.05414721807044643,0.0012406586361268354,0.0004270516576018839,0.034953379263427405,0.4221255490012716,0.0010993954433009636,0.2747053810714817,266,201,9,0,14,43,40
"Cream, plain, QUAL Low fat (naturally or reduced)",0.31481073984003355,4.599655005299981,0.008251576197765021,2.441104027129607,0.6039255705961754,4.411238636148989,4.9310765962551875,0.15675951874372981,0.03412533615787569,0.054488185284069734,0.0014075803224234394,0.0004070599969796488,0.03908334108080756,0.3068962913755852,0.000499875041651048,0.2919230667090355,266,201,12,0,14,43,40
Cream-cheese strudel,0.25153662581542763,4.04305126783455,0.0657877405380031,2.6390573296152584,1.1326916023209723,4.795790545596741,4.875197323201151,0.13102826240640408,0.045928931888399804,0.5492768101402434,0.0,0.000499875041651048,0.05448818528406973,0.25153662581542763,0.003992021269537453,0.44596705141749426,276,0,0,0,10,26,153
Creamed vegetable mix,0.2468600779315258,4.38772465578852,0.07192191099283135,2.747270914255491,1.0880327122624298,4.336356597840693,5.325098389225679,0.08118491225231343,0.06779215091043256,0.40517935299834734,0.0011707429843382288,0.0002066453140529761,0.11409369873204751,0.8077250852673805,0.016857117066422903,0.40860303679909155,277,0,0,0,4,22,51
Cresses,0.5877866649021191,4.9787022469932465,0.0934903430873389,3.607049435866304,1.179445892292183,3.8859723282282035,6.066108090103747,0.15333401992070236,0.08355302281828117,1.0397717886451763,0.0001666527793207948,0.0,0.2023575835543751,0.8241754429663494,0.042101176018635396,0.2634625622165537,278,0,0,0,19,37,99
"Crisp bread, rye wholemeal",0.5538851132264376,3.802951910373784,0.3012890758579978,4.607168188650764,1.4148008299174968,5.761002614986093,6.164016312306131,0.10014694860493886,0.20375683751401966,1.354029400532615,0.003017442936655265,0.0,0.2083682657320554,0.6999241648389691,0.004987541511039074,1.245978098470966,279,233,0,0,10,10,199
